benchmark,reward,walltime,commandline
benchmark://cBench-v0/adpcm,0.9999999999999998,4.3301591873168945,opt -sroa -simplifycfg -early-cse-memssa -instcombine -sroa -newgvn -jump-threading input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9917355371900825,3.8311941623687744,opt -sroa -ee-instrument -newgvn -simplifycfg -instcombine -sroa -newgvn -bdce -jump-threading input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9999999999999998,4.4085235595703125,opt -rewrite-symbols -attributor -inferattrs -sroa -simplifycfg -early-cse-memssa -instcombine -sroa -newgvn -jump-threading input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9173553719008263,2.7541232109069824,opt -sroa -simplifycfg -loop-rotate -loop-simplify -early-cse-memssa -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9999999999999998,4.2277562618255615,opt -sroa -loop-data-prefetch -simplifycfg -early-cse-memssa -instcombine -sroa -newgvn -jump-threading input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9999999999999998,4.386215448379517,opt -sroa -simplifycfg -early-cse-memssa -redundant-dbg-inst-elim -instcombine -sroa -newgvn -jump-threading -objc-arc -insert-gcov-profiling input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9999999999999998,4.394292593002319,opt -sroa -simplifycfg -early-cse-memssa -instcombine -sroa -newgvn -jump-threading input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9421487603305783,4.965630054473877,opt -sroa -simplifycfg -early-cse-memssa -instcombine -sroa -functionattrs -newgvn -aggressive-instcombine -bounds-checking -instcombine -jump-threading input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9999999999999998,4.362286329269409,opt -sroa -simplifycfg -early-cse-memssa -ipsccp -mergereturn -instcombine -sroa -lcssa -newgvn -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9999999999999998,4.292309284210205,opt -loop-versioning-licm -rewrite-symbols -objc-arc-expand -sroa -simplifycfg -early-cse-memssa -instcombine -loop-distribute -dce -sroa -newgvn -jump-threading input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,5.203973054885864,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -nary-reassociate -tailcallelim -slsr input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.008450704225352,4.317467212677002,opt -licm -always-inline -mem2reg -lowerinvoke -instcombine -gvn -instcombine -simplifycfg -tailcallelim -newgvn input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,5.068671941757202,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -globalsplit -instcombine -partially-inline-libcalls -correlated-propagation -hotcoldsplit -tailcallelim input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,5.169235944747925,opt -mem2reg -instcombine -simplifycfg -pgo-memop-opt -newgvn -sroa -instcombine -tailcallelim input.bc -o output.bc
benchmark://cBench-v0/bitcount,0.9887323943661971,5.778348922729492,opt -mem2reg -loop-extract-single -instcombine -simplifycfg -newgvn -loop-fusion -simplifycfg -elim-avail-extern -sroa -instcombine -tailcallelim input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,5.046314239501953,opt -forceattrs -die -mem2reg -instcombine -simplifycfg -newgvn -sroa -sancov -globalsplit -slp-vectorizer -loop-data-prefetch -forceattrs -instcombine -tailcallelim input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422537,7.69873309135437,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -reg2mem -sroa -sccp -loop-interchange -simplifycfg -newgvn -mem2reg -tailcallelim input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,5.0869646072387695,opt -nary-reassociate -mem2reg -instcombine -argpromotion -simplifycfg -newgvn -sroa -instcombine -globalsplit -tailcallelim input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,5.133727550506592,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -tailcallelim input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,6.370998382568359,opt -mem2reg -instcombine -slp-vectorizer -callsite-splitting -simplifycfg -newgvn -sroa -instcombine -tailcallelim -strip-debug-declare -loop-vectorize -simplifycfg -newgvn input.bc -o output.bc
benchmark://cBench-v0/blowfish,1.0351872871736663,10.239649295806885,opt -slp-vectorizer -sroa -instcombine -newgvn -simplifycfg -die -forceattrs -instcombine -dse -simplifycfg -load-store-vectorizer -memcpyopt -instcombine -newgvn -loop-fusion -dce -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/blowfish,1.0351872871736663,10.36167597770691,opt -sroa -instcombine -newgvn -simplifycfg -instcombine -canonicalize-aliases -dse -instnamer -simplifycfg -load-store-vectorizer -instcombine -newgvn input.bc -o output.bc
benchmark://cBench-v0/blowfish,1.0351872871736663,9.964486360549927,opt -sroa -instcombine -mldst-motion -newgvn -insert-gcov-profiling -simplifycfg -instcombine -dse -loop-versioning -simplifycfg -load-store-vectorizer -instcombine -load-store-vectorizer -newgvn input.bc -o output.bc
benchmark://cBench-v0/blowfish,1.0351872871736663,9.799697875976562,opt -sroa -instcombine -nary-reassociate -newgvn -simplifycfg -coro-elide -instcombine -loop-distribute -dse -simplifycfg -load-store-vectorizer -instcombine -instcombine -newgvn input.bc -o output.bc
benchmark://cBench-v0/blowfish,1.0351872871736663,11.75486707687378,opt -sroa -instcombine -newgvn -instnamer -gvn-hoist -simplifycfg -instcombine -newgvn -dse -loop-simplify -loop-data-prefetch -simplifycfg -load-store-vectorizer -instcombine -lower-matrix-intrinsics -newgvn input.bc -o output.bc
benchmark://cBench-v0/blowfish,1.0351872871736663,9.886180877685547,opt -sroa -instcombine -loop-data-prefetch -newgvn -simplifycfg -coro-elide -instcombine -dse -simplifycfg -load-store-vectorizer -ipconstprop -partially-inline-libcalls -instcombine -newgvn -sancov input.bc -o output.bc
benchmark://cBench-v0/blowfish,1.028376844494892,9.994446516036987,opt -sroa -instcombine -bounds-checking -newgvn -ipsccp -objc-arc-apelim -simplifycfg -instcombine -simplifycfg -dse -load-store-vectorizer -instcombine -newgvn input.bc -o output.bc
benchmark://cBench-v0/blowfish,1.0346197502837684,10.45395278930664,opt -coro-split -strip-debug-declare -sroa -reg2mem -sroa -instcombine -simplifycfg -callsite-splitting -newgvn -instcombine -simplifycfg -dse -load-store-vectorizer -instcombine -sccp -inline -newgvn input.bc -o output.bc
benchmark://cBench-v0/blowfish,1.0351872871736663,9.696810245513916,opt -sroa -instcombine -newgvn -simplifycfg -instcombine -dse -simplifycfg -load-store-vectorizer -instcombine -newgvn input.bc -o output.bc
benchmark://cBench-v0/blowfish,1.0351872871736663,9.862060070037842,opt -sroa -instcombine -newgvn -simplifycfg -guard-widening -sccp -instcombine -loop-data-prefetch -dse -simplifycfg -load-store-vectorizer -instcombine -newgvn input.bc -o output.bc
